Unnamed: 0,Inspect ID,Style Code,Order Number,Line Number,Quantity,User Code,Defect Found,Created Date,Maint Date,single_digit_year
0,10559,0,57193,Cool Kids Bike,1,0,1,20240330,20210330,3
1,12035,1,66441,Cool Kids Bike,1,0,1,20220508,20210508,1
2,12036,1,66441,Cool Kids Bike,2,0,1,20220508,20210508,1
3,11917,2,66459,Boring Kids Bike,1,0,1,20300506,20210506,9
4,11907,3,74147,Wheel Chair,1,0,1,20280505,20210505,7
5,11906,3,74147,Wheel Chair,1,0,1,20280505,20210505,7
6,12167,4,58080,Cool Kids Bike,2,0,1,20210512,20210512,0
7,12181,5,54770,Cool Kids Bike,1,0,1,20210512,20210512,0
8,12108,6,47986,Cool Kids Bike,1,0,1,20270511,20210511,6
9,12109,6,47986,Cool Kids Bike,2,0,1,20270511,20210511,6
10,12125,7,59917,Wheel Chair,2,0,1,20280511,20210511,7
11,12051,8,62122,Cool Kids Bike,1,0,1,20230510,20210510,2
12,12080,9,66235,Cool Kids Bike,1,0,1,20260510,20210510,5
13,12042,10,71084,Cool Kids Bike,1,0,1,20250508,20210508,4
14,11972,11,57851,Wheel Chair,1,0,1,20220507,20210507,1
15,11830,12,49692,Wheel Chair,1,0,1,20230504,20210504,2
16,12173,13,60640,Wheel Chair,1,0,1,20210512,20210512,0
17,12180,14,69889,Cool Kids Bike,1,0,1,20300512,20210512,9
18,12184,15,58482,Wheel Chair,1,0,1,20230512,20210512,2
19,12098,16,68983,Cool Kids Bike,2,0,1,20240511,20210511,3
20,12099,16,68983,Cool Kids Bike,1,0,1,20240511,20210511,3
21,12101,17,59917,Wheel Chair,1,0,1,20280511,20210511,7
22,12108,6,47986,Cool Kids Bike,1,0,1,20270511,20210511,6
23,12109,6,47986,Cool Kids Bike,2,0,1,20270511,20210511,6
24,12116,18,4993,Cool Kids Bike,1,0,1,20240511,20210511,3
25,12122,6,51770,Cool Kids Bike,1,0,1,20210511,20210511,0
26,12124,7,59917,Wheel Chair,1,0,1,20280511,20210511,7
27,12125,7,59917,Wheel Chair,2,0,1,20280511,20210511,7
28,12130,6,64007,Cool Kids Bike,2,0,1,20280511,20210511,7
29,12136,19,59513,Adult Mountain Bike,2,0,1,20240511,20210511,3
30,12137,19,59513,Adult Mountain Bike,1,0,1,20240511,20210511,3
31,12070,20,51462,Adult Mountain Bike,1,0,1,20230510,20210510,2
32,12080,9,66235,Cool Kids Bike,1,0,1,20260510,20210510,5
33,12089,21,61494,Cool Kids Bike,1,0,1,20250510,20210510,4
34,11975,20,50814,Wheel Chair,1,0,1,20250507,20210507,4
35,11982,2,58367,Cool Kids Bike,1,0,1,20280507,20210507,7
36,11983,2,58367,Cool Kids Bike,2,0,1,20280507,20210507,7
37,11987,22,49462,Cool Kids Bike,1,0,1,20230507,20210507,2
38,11926,10,71684,Cool Kids Bike,1,0,1,20250506,20210506,4
39,11940,23,63306,Wheel Chair,1,0,1,20270506,20210506,6
40,11844,24,55826,Cool Kids Bike,1,0,1,20270505,20210505,6
41,11845,24,55826,Cool Kids Bike,1,0,1,20270505,20210505,6
42,11846,24,55826,Cool Kids Bike,1,0,1,20270505,20210505,6
43,11847,25,55826,Boring Kids Bike,1,0,1,20270505,20210505,6
44,11865,26,73944,Cool Kids Bike,2,0,1,20250505,20210505,4
45,11866,26,73944,Cool Kids Bike,2,0,1,20250505,20210505,4
46,11899,27,55696,Wheel Chair,1,0,1,20270505,20210505,6
47,11905,28,68175,Adult Mountain Bike,1,0,1,20260505,20210505,5
48,11832,10,71406,Cool Kids Bike,1,0,1,20270504,20210504,6
49,11836,29,59799,Wheel Chair,1,0,1,20300504,20210504,9
50,11837,29,59799,Wheel Chair,2,0,1,20300504,20210504,9
51,12154,30,64236,Cool Kids Bike,1,0,1,20270512,20210512,6
52,12155,30,64236,Cool Kids Bike,2,0,1,20270512,20210512,6
53,12156,31,58547,Wheel Chair,1,0,1,20280512,20210512,7
54,12159,32,58514,Cool Kids Bike,1,0,1,20250512,20210512,4
55,12160,33,69090,Boring Kids Bike,2,0,1,20210512,20210512,0
56,12161,33,69090,Boring Kids Bike,1,0,1,20210512,20210512,0
57,12162,22,63993,Cool Kids Bike,1,0,1,20240512,20210512,3
58,12163,34,64236,Wheel Chair,1,0,1,20270512,20210512,6
59,12164,31,58547,Wheel Chair,2,0,1,20280512,20210512,7
60,12165,6,58564,Wheel Chair,1,0,1,20250512,20210512,4
61,12166,6,58564,Wheel Chair,2,0,1,20250512,20210512,4
62,12167,4,58080,Cool Kids Bike,2,0,1,20210512,20210512,0
63,12168,35,69894,Cool Kids Bike,1,0,1,20250512,20210512,4
64,12169,36,57995,Cool Kids Bike,1,0,1,20260512,20210512,5
65,12170,37,68644,Adult Mountain Bike,1,0,1,20250512,20210512,4
66,12171,38,57850,Wheel Chair,1,0,1,20210512,20210512,0
67,12172,39,57850,Wheel Chair,1,0,1,20210512,20210512,0
68,12173,13,60640,Wheel Chair,1,0,1,20210512,20210512,0
69,12174,33,67187,Boring Kids Bike,2,0,1,20280512,20210512,7
70,12175,33,67187,Boring Kids Bike,1,0,1,20280512,20210512,7
71,12176,40,60614,Wheel Chair,1,0,1,20250512,20210512,4
72,12178,40,60614,Wheel Chair,2,0,1,20250512,20210512,4
73,12183,41,74475,Cool Kids Bike,1,0,1,20260512,20210512,5
74,12184,15,58482,Wheel Chair,1,0,1,20230512,20210512,2
75,12185,16,58482,Cool Kids Bike,1,0,1,20230512,20210512,2
76,12186,16,58482,Cool Kids Bike,2,0,1,20230512,20210512,2
77,12107,13,61088,Cool Kids Bike,1,0,1,20290511,20210511,8
78,12108,6,47986,Cool Kids Bike,1,0,1,20270511,20210511,6
