Product,Quantity Sold,single_digit_year,created_date
Cool Kids Bike,1,3,2024-03-30
Cool Kids Bike,1,1,2022-05-08
Cool Kids Bike,2,1,2022-05-08
Boring Kids Bike,1,9,2030-05-06
Wheel Chair,1,7,2028-05-05
Wheel Chair,1,7,2028-05-05
Cool Kids Bike,2,0,2021-05-12
Cool Kids Bike,1,0,2021-05-12
Cool Kids Bike,1,6,2027-05-11
Cool Kids Bike,2,6,2027-05-11
Wheel Chair,2,7,2028-05-11
Cool Kids Bike,1,2,2023-05-10
Cool Kids Bike,1,5,2026-05-10
Cool Kids Bike,1,4,2025-05-08
Wheel Chair,1,1,2022-05-07
Wheel Chair,1,2,2023-05-04
Wheel Chair,1,0,2021-05-12
Cool Kids Bike,1,9,2030-05-12
Wheel Chair,1,2,2023-05-12
Cool Kids Bike,2,3,2024-05-11
Cool Kids Bike,1,3,2024-05-11
Wheel Chair,1,7,2028-05-11
Cool Kids Bike,1,6,2027-05-11
Cool Kids Bike,2,6,2027-05-11
Cool Kids Bike,1,3,2024-05-11
Cool Kids Bike,1,0,2021-05-11
Wheel Chair,1,7,2028-05-11
Wheel Chair,2,7,2028-05-11
Cool Kids Bike,2,7,2028-05-11
Adult Mountain Bike,2,3,2024-05-11
Adult Mountain Bike,1,3,2024-05-11
Adult Mountain Bike,1,2,2023-05-10
Cool Kids Bike,1,5,2026-05-10
Cool Kids Bike,1,4,2025-05-10
Wheel Chair,1,4,2025-05-07
Cool Kids Bike,1,7,2028-05-07
Cool Kids Bike,2,7,2028-05-07
Cool Kids Bike,1,2,2023-05-07
Cool Kids Bike,1,4,2025-05-06
Wheel Chair,1,6,2027-05-06
Cool Kids Bike,1,6,2027-05-05
Cool Kids Bike,1,6,2027-05-05
Cool Kids Bike,1,6,2027-05-05
Boring Kids Bike,1,6,2027-05-05
Cool Kids Bike,2,4,2025-05-05
Cool Kids Bike,2,4,2025-05-05
Wheel Chair,1,6,2027-05-05
Adult Mountain Bike,1,5,2026-05-05
Cool Kids Bike,1,6,2027-05-04
Wheel Chair,1,9,2030-05-04
Wheel Chair,2,9,2030-05-04
Cool Kids Bike,1,6,2027-05-12
Cool Kids Bike,2,6,2027-05-12
